id,ident,normalized,timestamp,channel,pattern,filename,request_raw,request_url,attackerIP,attackerPort,victimPort,victimIP,connectionType,connectionProtocol,priority,header,signature,sensor,connectionTransport,remoteHostname
575fcf879f8c6d649a32afae,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-06-14T09:33:59.029+0000,dionaea.connections,,,,,113.189.99.255,40606.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
5534a3379f8c6d649a29308e,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-04-20T06:56:55.061+0000,amun.events,,,,,54.148.214.124,52571.0,3389.0,172.31.13.124,initial,,,,,,,
54355b119f8c6d41306b9a2b,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-08T15:41:05.059+0000,amun.events,,,,,61.153.106.24,39354.0,135.0,172.31.13.124,initial,,,,,,,
588149539f8c6d649a3d18c0,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-19T23:18:43.424+0000,dionaea.connections,,,,,162.254.205.73,40355.0,49758.0,162.244.30.100,reject,pcap,,,,,tcp,
55d527f19f8c6d649a2e7964,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-08-20T01:05:53.374+0000,dionaea.connections,,,,,::ffff:202.104.187.171,1342.0,3306.0,::ffff:162.244.30.100,accept,mysqld,,,,,tcp,
58838aae9f8c6d649a3ea2b2,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-21T16:22:06.633+0000,dionaea.connections,,,,,162.254.205.73,40028.0,32391.0,162.244.30.100,reject,pcap,,,,,tcp,
556925c99f8c6d649a2b5f47,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-05-30T02:51:53.980+0000,amun.events,,,,,59.60.165.46,39034.0,23.0,172.31.13.124,initial,,,,,,,
544f37009f8c6d41306d6fc4,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-28T06:26:08.026+0000,amun.events,,,,,54.179.170.69,35982.0,443.0,172.31.13.124,initial,,,,,,,
553baf909f8c6d649a29659c,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-04-25T15:15:28.069+0000,dionaea.connections,,,,,69.64.40.184,57507.0,8980.0,162.244.30.100,reject,pcap,,,,,tcp,
551e53dd9f8c6d649a28c819,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-04-03T08:48:29.932+0000,amun.events,,,,,80.82.65.186,60065.0,80.0,172.31.14.66,initial,,,,,,,
587ea4b09f8c6d649a3ce527,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-17T23:11:44.337+0000,dionaea.connections,,,,,141.212.122.58,46945.0,443.0,162.244.30.100,reject,pcap,,,,,tcp,
58814c979f8c6d649a3d1b3e,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-19T23:32:39.779+0000,dionaea.connections,,,,,162.254.205.73,40355.0,21358.0,162.244.30.100,reject,pcap,,,,,tcp,
58b165879f8c6d649a3f09a1,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-02-25T11:07:51.122+0000,dionaea.connections,,,,,::ffff:62.210.245.31,41254.0,5060.0,::,connect,SipCall,,,,,udp,
57e2feaf9f8c6d649a35da94,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2016-09-21T21:42:07.797+0000,dionaea.connections,,,,,179.33.198.79,16532.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
542c263d9f8c6d41306af105,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-01T16:05:17.363+0000,amun.events,,,,,61.163.217.30,2530.0,3389.0,172.31.13.124,initial,,,,,,,
543e69da9f8c6d41306ccd70,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2014-10-15T12:34:34.936+0000,amun.events,,,,,37.203.214.248,2362.0,110.0,172.31.13.124,initial,,,,,,,
553d0c639f8c6d649a29740a,eb030eb8-3c69-11e4-9ee4-0a0b6e7c3e9e,True,2015-04-26T16:03:47.450+0000,amun.events,,,,,115.231.217.81,4405.0,3389.0,172.31.13.124,initial,,,,,,,
555934559f8c6d649a2ababa,5bf781dc-4726-11e4-9ee4-0a0b6e7c3e9e,True,2015-05-18T00:37:41.348+0000,amun.events,,,,,73.189.46.194,38957.0,23.0,172.31.14.66,initial,,,,,,,
55a3714f9f8c6d649a2db4ae,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2015-07-13T08:05:35.005+0000,dionaea.connections,,,,,37.34.80.172,1207.0,23.0,162.244.30.100,reject,pcap,,,,,tcp,
5881ae709f8c6d649a3d613a,a13907c8-c1c1-11e4-9ee4-0a0b6e7c3e9e,True,2017-01-20T06:30:08.849+0000,dionaea.connections,,,,,162.254.205.73,40355.0,34451.0,162.244.30.100,reject,pcap,,,,,tcp,
